MESS_DATUM,kWh,QN_3,FX,FM,QN_4,RSK,RSKF,SDK,SHK_TAG,NM,VPM,PM,TMK,UPM,TXK,TNK,TGK
2022-01-01,13.8,10,4.6,1.5,3,0.0,0,6.933,0,5.3,8.9,1008.05,7.3,87.29,14.0,2.8,0.5
2022-01-02,3.1,10,11.3,3.2,3,0.0,6,1.583,0,7.2,8.4,1002.29,8.2,78.54,13.9,2.4,1.2
2022-01-03,3.5,10,12.2,5.4,3,1.2,6,0.15,0,8.0,9.9,998.56,11.4,73.33,12.7,9.7,8.1
2022-01-04,0.0,10,19.2,6.3,3,10.7,6,0.0,0,7.8,9.9,983.4,10.7,77.75,15.7,5.6,4.7
2022-01-05,6.6,10,12.0,4.1,3,1.2,8,2.317,0,7.2,6.0,992.38,4.1,72.42,6.2,2.3,0.9
2022-01-06,4.1,10,7.1,2.5,3,0.0,6,0.833,0,5.5,6.2,1001.52,2.2,87.13,5.4,-2.3,-4.0
2022-01-07,1.1,10,11.6,4.7,3,2.1,8,0.0,0,7.5,5.7,999.81,1.7,82.79,5.0,-2.2,-3.1
2022-01-08,3.4,10,14.2,6.2,3,2.6,6,0.2,0,7.7,6.3,992.42,4.6,74.04,7.3,1.7,-1.0
2022-01-09,3.7,10,18.7,4.5,3,3.4,6,0.65,0,7.2,7.2,986.11,4.5,85.29,7.5,1.0,-0.4
2022-01-10,10.0,10,4.5,1.4,3,0.0,0,2.85,0,5.5,6.5,1002.03,1.8,93.33,5.3,-1.9,-2.8
2022-01-11,5.9,10,5.1,1.9,3,0.0,0,0.55,0,5.8,5.6,1013.29,-0.8,96.88,3.1,-3.0,-6.1
2022-01-12,16.0,10,5.7,1.4,3,0.0,0,7.117,0,1.9,4.9,1018.91,-1.2,88.25,2.5,-5.1,-6.6
2022-01-13,14.3,10,5.6,1.6,3,0.0,6,6.75,0,2.8,4.8,1021.02,-2.0,91.54,1.3,-5.9,-7.1
2022-01-14,6.7,10,4.2,1.5,3,0.0,0,1.567,0,7.1,5.1,1016.8,-2.1,97.13,0.9,-4.5,-4.7
2022-01-15,1.0,10,4.4,1.8,3,0.0,8,0.0,0,8.0,5.1,1009.95,-2.1,98.54,-1.5,-3.1,-2.8
2022-01-16,8.2,10,7.1,2.4,3,0.1,8,3.167,0,6.6,5.4,1010.6,0.2,86.88,3.6,-3.8,-5.5
2022-01-17,4.1,10,6.8,2.2,3,0.5,6,0.817,0,7.9,6.3,1017.09,3.0,83.13,6.0,0.5,-0.1
2022-01-18,9.0,10,7.4,2.6,3,0.0,0,2.867,0,4.7,6.9,1017.19,3.9,85.13,7.6,0.4,-2.2
2022-01-19,11.3,10,9.1,3.4,3,2.3,6,5.217,0,3.3,5.7,1009.86,2.0,80.63,5.0,-2.7,-4.6
2022-01-20,2.1,10,10.4,3.2,3,0.2,8,0.667,0,7.7,6.4,1009.72,2.7,86.46,5.1,0.0,-2.3
2022-01-21,7.6,10,3.8,1.3,3,0.0,8,1.017,0,7.7,5.6,1015.19,1.8,81.13,4.1,-1.2,-2.9
2022-01-22,2.6,10,4.6,1.7,3,0.0,6,0.0,0,8.0,6.2,1016.23,3.4,79.33,5.3,1.9,0.8
2022-01-23,3.3,10,8.1,2.1,3,0.0,0,0.017,0,6.2,6.5,1015.49,3.6,82.38,6.1,0.0,-2.1
2022-01-24,18.1,10,4.3,1.1,3,0.0,0,6.733,0,0.3,5.3,1014.06,0.4,85.25,5.4,-3.7,-5.3
2022-01-25,17.4,10,5.1,1.5,3,0.0,6,7.683,0,1.8,5.4,1014.23,-0.1,89.08,5.4,-4.4,-6.0
2022-01-26,0.7,10,4.7,1.5,3,0.0,6,0.0,0,8.0,5.5,1014.7,-0.9,95.96,-0.5,-1.6,-1.7
2022-01-27,2.7,10,10.8,4.3,3,0.2,6,0.0,0,8.0,5.1,1012.7,-0.5,86.58,2.2,-2.1,-1.9
2022-01-28,8.2,10,7.0,3.0,3,0.0,0,2.283,0,7.4,6.5,1016.96,3.2,84.58,6.3,0.8,-0.5
2022-01-29,2.8,10,12.1,4.8,3,1.0,6,0.0,0,7.9,6.4,1013.8,3.0,84.17,5.7,-0.8,-1.9
2022-01-30,8.6,10,8.9,2.6,3,0.0,6,1.933,0,5.6,7.1,1010.56,4.5,84.58,8.4,-1.5,-3.3
2022-01-31,3.3,10,14.4,5.4,3,1.0,6,0.667,0,7.6,6.3,998.83,4.7,74.25,7.3,1.0,0.0
2022-02-01,2.6,10,15.0,5.7,3,1.1,8,0.0,0,7.8,6.2,1003.41,4.1,75.54,4.8,3.1,1.8
2022-02-02,2.3,10,8.8,3.3,3,1.2,6,0.0,0,7.8,9.3,1003.14,7.8,87.42,9.9,4.8,3.7
2022-02-03,6.1,10,5.5,2.0,3,0.0,0,0.417,0,8.0,9.1,1000.83,7.7,86.67,9.9,2.4,-0.2
2022-02-04,3.8,10,13.8,4.0,3,1.7,6,0.083,0,7.3,7.7,998.51,6.4,80.79,8.6,1.2,-0.5
2022-02-05,18.9,10,7.6,3.2,3,0.0,0,7.517,0,2.1,5.8,1006.31,4.0,72.21,8.7,-1.2,-3.0
2022-02-06,1.2,10,19.2,8.3,3,12.1,8,0.2,0,7.8,7.2,998.23,5.9,76.42,8.4,2.6,1.3
2022-02-07,9.7,10,18.0,3.8,3,0.0,6,2.5,0,4.7,6.0,1006.43,4.1,73.42,7.6,-0.6,-2.3
2022-02-08,13.9,10,9.7,3.2,3,0.0,0,4.133,0,7.1,6.3,1014.29,5.8,69.21,11.0,1.1,-1.6
2022-02-09,22.3,10,6.0,2.2,3,0.0,0,8.717,0,0.8,6.6,1010.11,5.3,75.25,12.6,-1.7,-2.9
2022-02-10,8.0,10,14.1,3.2,3,0.2,6,4.9,0,5.5,7.1,1005.32,6.8,72.42,12.7,-0.5,-2.4
2022-02-11,11.5,10,12.6,2.5,3,0.0,0,5.917,0,3.8,6.0,1011.73,4.3,72.5,8.1,-2.1,-4.2
2022-02-12,18.2,10,4.2,1.4,3,0.0,0,5.717,0,6.2,5.1,1010.05,0.8,81.38,7.4,-3.7,-5.7
2022-02-13,22.4,10,10.6,2.8,3,0.0,0,8.917,0,3.9,5.4,998.97,5.3,63.96,13.4,-3.1,-4.5
2022-02-14,4.1,10,12.9,3.9,3,2.3,6,0.0,-999,6.8,7.4,990.14,6.7,74.33,12.0,0.2,-1.8
2022-02-15,7.2,10,11.8,3.9,3,0.6,6,1.367,0,7.3,7.6,996.7,6.7,77.75,9.7,5.4,4.0
2022-02-16,1.9,10,15.8,8.3,3,0.3,6,0.0,0,7.8,9.1,991.65,9.6,74.75,13.4,6.5,5.8
2022-02-17,9.3,10,18.2,7.8,3,0.0,6,3.267,0,7.3,8.9,994.09,12.5,61.04,15.0,9.5,8.1
2022-02-18,3.7,10,18.6,6.3,3,0.0,6,0.083,0,8.0,9.1,992.57,11.8,65.17,16.4,7.6,6.5
2022-02-19,22.9,10,12.6,5.7,3,0.0,6,8.283,0,4.8,5.3,1000.8,7.4,52.0,10.5,4.6,2.5
2022-02-20,5.7,10,18.8,8.5,3,4.9,8,0.05,0,7.8,7.7,999.23,8.3,69.63,10.8,5.9,5.2
2022-02-21,5.1,10,21.0,7.6,3,0.1,6,1.483,0,6.9,7.0,992.79,7.6,67.38,10.8,4.3,3.0
2022-02-22,5.0,10,10.5,4.3,3,0.5,6,0.033,0,7.8,7.7,1004.68,7.8,73.21,10.3,4.0,1.1
2022-02-23,24.2,10,9.0,2.1,3,0.0,0,8.817,0,4.6,8.4,1007.07,8.7,75.71,13.3,4.1,1.7
2022-02-24,8.5,10,14.5,4.0,3,1.5,6,2.367,0,7.5,7.3,999.36,7.8,72.13,13.6,2.0,0.7
2022-02-25,11.7,10,13.0,3.6,3,3.1,8,3.55,0,5.3,6.1,1008.2,3.8,77.75,8.5,0.6,-1.0
2022-02-26,23.1,10,8.2,2.1,3,0.0,0,6.717,0,3.3,5.6,1013.86,3.6,73.13,8.6,-0.2,-2.3
2022-02-27,27.1,10,12.2,3.4,3,0.0,0,9.867,0,0.0,4.6,1010.5,4.5,56.38,10.8,-2.1,-4.1
2022-02-28,26.0,10,6.4,1.8,3,0.0,0,9.883,0,0.0,4.8,1011.18,3.4,62.5,9.6,-3.8,-6.0
2022-03-01,24.9,10,6.9,2.1,3,0.0,0,9.25,0,4.3,4.6,1008.95,3.4,59.92,9.3,-3.7,-5.9
2022-03-02,11.8,10,4.6,1.5,3,0.0,0,1.267,0,6.7,4.8,1004.12,1.9,70.13,7.9,-3.7,-6.0
2022-03-03,25.6,10,6.5,1.7,3,0.0,0,10.083,0,0.1,5.3,999.15,2.9,72.33,10.6,-3.7,-6.3
2022-03-04,26.2,10,9.0,2.5,3,0.0,0,10.15,0,0.0,4.6,999.63,2.3,67.25,10.2,-4.0,-7.4
2022-03-05,26.5,10,7.5,2.4,3,0.0,0,10.2,0,0.0,4.0,1000.41,1.8,61.21,9.1,-5.0,-7.8
2022-03-06,23.5,10,10.9,3.1,3,0.0,0,9.117,0,0.9,3.9,1001.88,1.7,59.0,8.3,-4.9,-7.8
2022-03-07,27.2,10,11.9,3.9,3,0.0,0,10.283,0,1.0,3.6,1003.27,1.7,55.17,7.9,-5.1,-6.8
2022-03-08,27.8,10,10.4,3.6,3,0.0,0,10.433,0,0.1,3.4,1002.12,4.8,40.83,11.0,-2.8,-5.9
2022-03-09,26.4,10,4.3,1.5,3,0.0,0,10.417,0,0.7,4.5,1004.68,4.4,55.54,13.5,-4.9,-7.1
2022-03-10,27.1,10,7.8,1.7,3,0.0,0,10.533,0,0.3,5.0,1004.07,5.8,58.17,15.3,-3.4,-6.4
