MESS_DATUM,kWh,RSK,SDK,SHK_TAG,NM,TMK
2022-01-01,13.8,0.0,6.933,0,5.3,7.3
2022-01-02,3.1,0.0,1.583,0,7.2,8.2
2022-01-03,3.5,1.2,0.15,0,8.0,11.4
2022-01-04,0.0,10.7,0.0,0,7.8,10.7
2022-01-05,6.6,1.2,2.317,0,7.2,4.1
2022-01-06,4.1,0.0,0.833,0,5.5,2.2
2022-01-07,1.1,2.1,0.0,0,7.5,1.7
2022-01-08,3.4,2.6,0.2,0,7.7,4.6
2022-01-09,3.7,3.4,0.65,0,7.2,4.5
2022-01-10,10.0,0.0,2.85,0,5.5,1.8
2022-01-11,5.9,0.0,0.55,0,5.8,-0.8
2022-01-12,16.0,0.0,7.117,0,1.9,-1.2
2022-01-13,14.3,0.0,6.75,0,2.8,-2.0
2022-01-14,6.7,0.0,1.567,0,7.1,-2.1
2022-01-15,1.0,0.0,0.0,0,8.0,-2.1
2022-01-16,8.2,0.1,3.167,0,6.6,0.2
2022-01-17,4.1,0.5,0.817,0,7.9,3.0
2022-01-18,9.0,0.0,2.867,0,4.7,3.9
2022-01-19,11.3,2.3,5.217,0,3.3,2.0
2022-01-20,2.1,0.2,0.667,0,7.7,2.7
2022-01-21,7.6,0.0,1.017,0,7.7,1.8
2022-01-22,2.6,0.0,0.0,0,8.0,3.4
2022-01-23,3.3,0.0,0.017,0,6.2,3.6
2022-01-24,18.1,0.0,6.733,0,0.3,0.4
2022-01-25,17.4,0.0,7.683,0,1.8,-0.1
2022-01-26,0.7,0.0,0.0,0,8.0,-0.9
2022-01-27,2.7,0.2,0.0,0,8.0,-0.5
2022-01-28,8.2,0.0,2.283,0,7.4,3.2
2022-01-29,2.8,1.0,0.0,0,7.9,3.0
2022-01-30,8.6,0.0,1.933,0,5.6,4.5
2022-01-31,3.3,1.0,0.667,0,7.6,4.7
2022-02-01,2.6,1.1,0.0,0,7.8,4.1
2022-02-02,2.3,1.2,0.0,0,7.8,7.8
2022-02-03,6.1,0.0,0.417,0,8.0,7.7
2022-02-04,3.8,1.7,0.083,0,7.3,6.4
2022-02-05,18.9,0.0,7.517,0,2.1,4.0
2022-02-06,1.2,12.1,0.2,0,7.8,5.9
2022-02-07,9.7,0.0,2.5,0,4.7,4.1
2022-02-08,13.9,0.0,4.133,0,7.1,5.8
2022-02-09,22.3,0.0,8.717,0,0.8,5.3
2022-02-10,8.0,0.2,4.9,0,5.5,6.8
2022-02-11,11.5,0.0,5.917,0,3.8,4.3
2022-02-12,18.2,0.0,5.717,0,6.2,0.8
2022-02-13,22.4,0.0,8.917,0,3.9,5.3
2022-02-14,4.1,2.3,0.0,-999,6.8,6.7
